id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/04908832_21_201405558/Freckles.java",,""
2,RECORDDECLARATION,"Freckles",Freckles.java(4:1-81:2),"class Freckles
{
    static int rank=0;


    public static void main(String args[])
    {
    Scanner stdin = new Scanner(System.in);

    int N=stdin.nextInt();

    Point FaceMap[]=new Point[N];

    for(int i=0;i<N;i++)
        {
        FaceMap[i]=new Point(stdin.nextDouble(),stdin.nextDouble());
        }
    DrawOnHisFace(FaceMap,N);
    }
    public static void DrawOnHisFace(Point face[],int N)
    {
	int groups=N;
    PriorityQueue<Link> links = new PriorityQueue<Link>();

    for(int i=0;i<N-1;i++)
        {
        for(int i2=i+1;i2<N;i2++)
            links.add(new Link(i,i2,Distance(face[i],face[i2]) ));
        }
    double total=0;

    /*
    while(links.size()!=0)
    {
    Link l=links.poll();
    System.out.println(l);
    }
    */

    while(links.size()!=0 && groups!=1)
        {
        Link first=links.poll();

        Point a=face[first.a];
        Point b=face[first.b];

        rank=0;
        Point parentA=a.FindParent();
        int rankA=rank;

        rank=0;
        Point parentB=b.FindParent();
        int rankB=rank;

        if(parentA!=parentB)
            {
            if(rankA>rankB)
                parentA.UniteRoots(parentB);
            else
                parentB.UniteRoots(parentA);
	    groups--;
            total+=first.d;
            }

        }
    System.out.format(""%.2f\n"",total);

    }
    public static double Distance(Point a,Point b)
    {
    double x=Math.abs(a.x-b.x);
    double y=Math.abs(a.y-b.y);
    return Math.sqrt( (x*x) + (y*y) );
    }



}"
3,RECORDDECLARATION,"Point",Freckles.java(83:1-130:2),"class Point
{
    Point prev;

    double x;
    double y;

    Point(double X,double Y)
    {
    prev=this;

    x=X;
    y=Y;
    }
    public int compareTo(Point a)
    {
    if(a.x==x && a.y==y)
        return 0;
    else if(a.x>x)
        return -1;
    else
        return 1;
    }
    public Point FindParent()
    {
    if(prev==this)
        return this;
    else
        {
        Freckles.rank++;
        prev=prev.FindParent();
        }
    if(prev!=this)
        {
        Freckles.rank++;
        Point parent=prev.FindParent();
        prev=parent;
        return parent;
        }
    return this;

    }

    public void UniteRoots(Point a)
    {
    a.prev=this;
    }
}"
4,RECORDDECLARATION,"Link",Freckles.java(132:1-161:2),"class Link implements Comparable<Link>
{
    int a;  //index of point a
    int b;  //index of point b

    double d;  //distance between the points

    Link(int A,int B,double D)
    {
    a=A;
    b=B;
    d=D;
    }

@Override
    public int compareTo(Link l)
    {
    if(l.d<d)
        return 1;
    else if(l.d>d)
        return -1;
    else
        return 0;
    }
    public String toString()
    {
    return new String(""(""+a+"",""+b+"",""+d+"")"");
    }

}"
5,INCLUDEDECLARATION,"java.util",,""
6,FIELDDECLARATION,"this",,""
7,FIELDDECLARATION,"rank",Freckles.java(6:5-6:23),"rank = 0"
8,METHODDECLARATION,"main",Freckles.java(9:5-22:6),"public static void main(String args[])
    {
    Scanner stdin = new Scanner(System.in);

    int N=stdin.nextInt();

    Point FaceMap[]=new Point[N];

    for(int i=0;i<N;i++)
        {
        FaceMap[i]=new Point(stdin.nextDouble(),stdin.nextDouble());
        }
    DrawOnHisFace(FaceMap,N);
    }"
9,METHODDECLARATION,"DrawOnHisFace",Freckles.java(23:5-71:6),"public static void DrawOnHisFace(Point face[],int N)
    {
	int groups=N;
    PriorityQueue<Link> links = new PriorityQueue<Link>();

    for(int i=0;i<N-1;i++)
        {
        for(int i2=i+1;i2<N;i2++)
            links.add(new Link(i,i2,Distance(face[i],face[i2]) ));
        }
    double total=0;

    /*
    while(links.size()!=0)
    {
    Link l=links.poll();
    System.out.println(l);
    }
    */

    while(links.size()!=0 && groups!=1)
        {
        Link first=links.poll();

        Point a=face[first.a];
        Point b=face[first.b];

        rank=0;
        Point parentA=a.FindParent();
        int rankA=rank;

        rank=0;
        Point parentB=b.FindParent();
        int rankB=rank;

        if(parentA!=parentB)
            {
            if(rankA>rankB)
                parentA.UniteRoots(parentB);
            else
                parentB.UniteRoots(parentA);
	    groups--;
            total+=first.d;
            }

        }
    System.out.format(""%.2f\n"",total);

    }"
10,METHODDECLARATION,"Distance",Freckles.java(72:5-77:6),"public static double Distance(Point a,Point b)
    {
    double x=Math.abs(a.x-b.x);
    double y=Math.abs(a.y-b.y);
    return Math.sqrt( (x*x) + (y*y) );
    }"
